similarity,combination
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol']
1,['PAXWithBalance.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
21,['PAXWithBalance.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
14,['PAXWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
7,['PAXWithBalance.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
5,['BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
3,['BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol']
4,['BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol']
2,['BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol']
3,['BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol']
3,['BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMathMock.sol']
3,['BadV2UpgradeExample.sol', 'Migrations.sol', 'AddressUtils.sol']
4,['BadV2UpgradeExample.sol', 'Migrations.sol', 'AdminUpgradeabilityProxy.sol']
2,['BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV1.sol']
5,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
7,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
3,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol']
5,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol']
5,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
5,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
6,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
4,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol']
2,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementationV2.sol']
3,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementation.sol']
3,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'SafeMathMock.sol']
3,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'AddressUtils.sol']
4,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementationV1.sol']
2,['BadV2UpgradeExample.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
4,['BadV2UpgradeExample.sol', 'Proxy.sol', 'PAXImplementation.sol']
4,['BadV2UpgradeExample.sol', 'Proxy.sol', 'SafeMathMock.sol']
4,['BadV2UpgradeExample.sol', 'Proxy.sol', 'AddressUtils.sol']
7,['BadV2UpgradeExample.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['BadV2UpgradeExample.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
3,['BadV2UpgradeExample.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
1,['BadV2UpgradeExample.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
3,['BadV2UpgradeExample.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
3,['BadV2UpgradeExample.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
4,['BadV2UpgradeExample.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
3,['BadV2UpgradeExample.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
4,['BadV2UpgradeExample.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['BadV2UpgradeExample.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
4,['BadV2UpgradeExample.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BadV2UpgradeExample.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
3,['BadV2UpgradeExample.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
12,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
21,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
4,['Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol']
16,['Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol']
10,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
17,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
42,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
8,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'PAXImplementationV2.sol']
3,['Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'PAXImplementationV1.sol']
3,['Migrations.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
7,['Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
8,['Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
28,['Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['Migrations.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
2,['Migrations.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['Migrations.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
2,['Migrations.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
3,['Migrations.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
23,['Migrations.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
14,['Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
7,['Migrations.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
12,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
4,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol']
7,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol']
7,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
6,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
25,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV1.sol']
5,['UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol']
18,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
89,['UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
9,['UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
4,['UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
4,['UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
4,['UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
6,['UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
3,['UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
10,['UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
10,['UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
43,['UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
10,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
46,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
47,['UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
16,['UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
3,['SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
2,['SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol']
4,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
6,['SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
29,['SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['SafeMath.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
2,['SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['SafeMath.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['SafeMath.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
5,['SafeMath.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
1,['SafeMath.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
4,['SafeMath.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
4,['SafeMath.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
8,['SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
4,['SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
7,['SafeMath.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
3,['Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
3,['Proxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
3,['Proxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
5,['Proxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
3,['Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
8,['Proxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
5,['Proxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
30,['Proxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['Proxy.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
6,['Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
26,['Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['Proxy.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
29,['Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['Proxy.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
12,['Proxy.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXImplementationV2.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
3,['PAXImplementationV2.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
5,['PAXImplementationV2.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementationV2.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
2,['PAXImplementationV2.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['PAXImplementationV2.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementationV2.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
5,['PAXImplementationV2.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementationV2.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
3,['PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
22,['PAXImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementation.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
15,['PAXImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementation.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
7,['PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
7,['SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
7,['SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
7,['AddressUtils.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
