similarity,combination
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'executor.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'executor.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'authority.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
0,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol']
0,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
2,['Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['Migrations.sol', 'params.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
0,['Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'params.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
2,['Migrations.sol', 'params.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
0,['Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['Migrations.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
2,['Migrations.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
2,['CommodityInfo.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['CommodityInfo.sol', 'params.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'params.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'params.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['CommodityInfo.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
0,['params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['params.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['params.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['params.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
