similarity,combination
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
11,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
10,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
10,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
9,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
16,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'PAXImplementationV1.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
