similarity,combination
15,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
4,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
14,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
27,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
7,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
8,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
7,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
9,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
21,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
28,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
4,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
14,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
28,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['Migrations.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
14,['Migrations.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
28,['Migrations.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
13,['Migrations.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
9,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
21,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['Migrations.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
11,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
10,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
12,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
67,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
10,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
18,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
63,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
11,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
30,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
92,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
5,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
23,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
7,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
18,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
25,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
18,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
38,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
14,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
10,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
17,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
62,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
10,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
30,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
94,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
10,['UpgradeabilityProxy.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
30,['UpgradeabilityProxy.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
94,['UpgradeabilityProxy.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
43,['UpgradeabilityProxy.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
18,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
39,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
14,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
14,['UpgradeabilityProxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
5,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
26,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
14,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
8,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
14,['SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
27,['SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
12,['SafeMath.sol', 'Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
6,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
7,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
6,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
6,['SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
15,['Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
28,['Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
13,['Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
13,['Proxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
6,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
