similarity,combination
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
77,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
11,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
36,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
44,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
6,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
8,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
30,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
5,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
7,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['Migrations.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
9,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
30,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
27,['Migrations.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
23,['Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol']
4,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
4,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
6,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
10,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
13,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
71,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
12,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
29,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
7,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
4,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
13,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
70,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
100,['UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
43,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
7,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
29,['SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
29,['Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
